temp,fuel,year,co
-40,0,15,340.357
-39,0,15,334.225
-38,0,15,328.093
-37,0,15,321.961
-36,0,15,315.829
-35,0,15,309.697
-34,0,15,303.565
-33,0,15,297.433
-32,0,15,291.301
-31,0,15,285.369
-30,0,15,280.05
-29,0,15,274.732
-28,0,15,269.413
-27,0,15,264.094
-26,0,15,258.775
-25,0,15,253.456
-24,0,15,248.137
-23,0,15,242.818
-22,0,15,237.5
-21,0,15,232.359
-20,0,15,227.382
-19,0,15,222.405
-18,0,15,217.428
-17,0,15,212.452
-16,0,15,207.475
-15,0,15,202.498
-14,0,15,197.522
-13,0,15,192.545
-12,0,15,187.724
-11,0,15,183.303
-10,0,15,178.882
-9,0,15,174.461
-8,0,15,170.04
-7,0,15,165.619
-6,0,15,161.198
-5,0,15,156.778
-4,0,15,152.357
-3,0,15,148.117
-2,0,15,144.196
-1,0,15,140.274
0,0,15,136.352
1,0,15,132.43
2,0,15,128.509
3,0,15,124.587
4,0,15,120.665
5,0,15,116.743
6,0,15,112.822
7,0,15,109.1
8,0,15,105.817
9,0,15,102.533
10,0,15,99.25
11,0,15,95.967
12,0,15,92.684
13,0,15,89.4
14,0,15,86.117
15,0,15,82.834
16,0,15,79.726
17,0,15,76.757
18,0,15,73.787
19,0,15,70.818
20,0,15,67.848
21,0,15,64.879
22,0,15,61.909
23,0,15,58.94
24,0,15,55.97
25,0,15,53.044
26,0,15,50.348
27,0,15,47.651
28,0,15,44.955
29,0,15,42.259
30,0,15,39.563
31,0,15,36.867
32,0,15,34.17
33,0,15,31.474
34,0,15,28.778
35,0,15,26.209
36,0,15,24.708
37,0,15,23.207
38,0,15,21.706
39,0,15,20.205
40,0,15,18.704
41,0,15,17.203
42,0,15,15.703
43,0,15,14.202
44,0,15,12.815
45,0,15,11.639
46,0,15,10.463
47,0,15,9.287
48,0,15,8.112
49,0,15,6.936
50,0,15,5.76
51,0,15,4.584
52,0,15,3.408
53,0,15,2.363
54,0,15,1.664
55,0,15,0.966
56,0,15,0.267
57,0,15,-0.432
58,0,15,-1.131
59,0,15,-1.829
60,0,15,-2.528
61,0,15,-3.227
62,0,15,-3.925
63,0,15,-3.516
64,0,15,-2.944
65,0,15,-2.372
66,0,15,-1.8
67,0,15,-1.228
68,0,15,-0.656
69,0,15,-0.084
70,0,15,0.488
71,0,15,1.06
72,0,15,1.632
73,0,15,2.403
74,0,15,3.217
75,0,15,4.031
76,0,15,4.845
77,0,15,5.659
78,0,15,6.473
79,0,15,7.287
80,0,15,8.101
81,0,15,8.915
82,0,15,10.537
83,0,15,12.436
84,0,15,14.336
85,0,15,16.236
86,0,15,18.135
87,0,15,20.035
88,0,15,21.934
89,0,15,23.834
90,0,15,25.733
91,0,15,26.717
